filepath,pii_hash,category,event_code,methodology,confidence_score
/Users/webdev/Documents/Complyable/small_batch/lebenslauf_anna_mueller.pdf,dad114b6ed7342bac65c79575f6c7ff761ec26b52c1f5f7a9110532973d05df2,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/lebenslauf_anna_mueller.pdf,384283b118f398a667f3026592358cc3cefaa0cac8d5a86a8702f975ef4eb7ac,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,bf74e4a280affafbdf6692bc6a9f3d66b03094fbfb4a91589bc7fd6b32664fdb,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,2568c214b558e6845023c8a8d775d61c48eac326e5a36f6a44d6e78b6cffcb2a,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,c075b9c24a3d0f0cdad3e99683ed2514981e4ff40c6c0056de53e5e56e052227,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,93e16e6fc8351c593b06a36f63c255415caa5276504fa20af4f10f4c825d70b9,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,85fadee31bd52f1165087953010c73ff35cde9c835e6d03beb35e398db8afc70,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,7d5af1837f8a559b14c3dea2fb9a4d5eab5580798c2fc21bffdee4c7e991edd8,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,29cda29977a3ef8d4d9e546e03e630a9a97e4903dce13f3d2fca2db38b3a01f3,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,ddcdda5ac2be57d4e9c122e1cbc299856dfd6ccaaaf583a77645536d9636bbe9,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,7401ba2d22d623a10b9685d9efdb8fd539f204a9490ebdd3273297a7cbbd7743,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,0fbdda687fcdbf66af48d7277dd3a1b6c8259c04164abbb86ed8cfb619c174b4,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,0fbdda687fcdbf66af48d7277dd3a1b6c8259c04164abbb86ed8cfb619c174b4,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,384283b118f398a667f3026592358cc3cefaa0cac8d5a86a8702f975ef4eb7ac,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,a42276dc3bca61ca7db7eb36512513facbf1e1a412409c891c13cb216d9184ed,Inclusion,T3-GIP,Linguistic Gender Neutralization,0.9
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,3557b1c6fa8946cc8864f2410a2ea9b70c5b551ac96d772c52cd91721322e4df,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,3557b1c6fa8946cc8864f2410a2ea9b70c5b551ac96d772c52cd91721322e4df,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,c0bc1e08f9743b2d50d5f1607503bf4e849af0e729fca896515bea955d70a33e,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,eaa1aebfd86b461569632acaa47523a66d33a9f768c819802f1934cf07ed24aa,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,6bf004dcd179c1f207828dc31525bbc4a29925c52458ff12b789e36d3b0d1fd2,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,3557b1c6fa8946cc8864f2410a2ea9b70c5b551ac96d772c52cd91721322e4df,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,3557b1c6fa8946cc8864f2410a2ea9b70c5b551ac96d772c52cd91721322e4df,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,482b98e1609bd828db30a1c85f78a5e6e6ee55dcfb01db094432c1db2c1ae168,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,3557b1c6fa8946cc8864f2410a2ea9b70c5b551ac96d772c52cd91721322e4df,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,3557b1c6fa8946cc8864f2410a2ea9b70c5b551ac96d772c52cd91721322e4df,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,eaa1aebfd86b461569632acaa47523a66d33a9f768c819802f1934cf07ed24aa,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,3557b1c6fa8946cc8864f2410a2ea9b70c5b551ac96d772c52cd91721322e4df,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,a95cdd258f9bd357a6ea7efb973b6ab20450a6f68a7f654eb8a57964efd080f0,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,ed6d1ff9927b323ba8ec93a8701da3b7840bdd36bb46fe8a9721a9200090780f,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,eaa1aebfd86b461569632acaa47523a66d33a9f768c819802f1934cf07ed24aa,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,3557b1c6fa8946cc8864f2410a2ea9b70c5b551ac96d772c52cd91721322e4df,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,a21daa1880017b9dc34bad45190017f5d2a8e5f73defa8311897821be522e55d,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
